,Collection_Name,Category_Art,Category_Collectibles,Category_Domain Names,Category_Music,Category_Photography,Category_Sports,Category_Trading Cards,Category_Utility,Category_Virtual Worlds,Items,Owners,Floor_Price,Twitter_Page_Followers,Twitter_Page_Following,Twitter_Page_Is_Verified,Twitter_Page_Creation_Date,Max_Twitter_Retweets,Max_Twitter_Replies,Max_Twitter_Likes,Max_Twitter_Quotes,Collection_Creation_Date,Collection_30_Day_Volume,Collection_Listing_Status,Collection_Traits_count
2379,Generative Miners,0,1,0,0,0,0,0,0,0,1100,108.0,0.05,1196.0,446.0,False,08/28/2021,34,36,59,10,2021-08-30,1.58699,not_requested,6.0
2380,Generative Sapiens,0,1,0,0,0,0,0,0,0,49,26.0,0.35,1690.0,407.0,False,09/04/2021,42,24,126,2,2021-09-04,2.28,approved,5.0
2381,Generative-ishNinja,0,1,0,0,0,0,0,0,0,5000,576.0,0.001,7778.0,476.0,False,10/05/2021,116,33,113,135,2021-11-14,0.0708116999999999,not_requested,9.0
2382,Generativemasks,1,1,0,0,0,0,0,0,0,10000,3500.0,0.09,6088.0,199.0,False,07/24/2021,17,7,50,7,2021-08-12,29.04068999999995,verified,8.0
2383,Genesis Adventurers (for Loot),0,1,0,0,0,0,0,0,0,414,175.0,3.0,1859.0,305.0,False,09/05/2021,19,11,50,5,2021-09-16,13.334,not_requested,0.0
2384,Genesis Africa,1,0,0,0,0,0,0,0,0,13,3.0,0.22,155.0,97.0,False,10/20/2021,35,26,154,6,2021-10-20,0.44,not_requested,0.0
2385,Genesis Blocks Art,1,0,0,0,0,0,0,0,0,2500,1200.0,0.038,1345.0,46.0,False,08/26/2021,182,67,212,8,2021-09-15,2.436669,verified,88.0
2386,Genesis Cube,1,0,0,0,0,0,0,0,0,2,8.0,0.5,1097.0,893.0,False,01/18/2014,3,3,14,3,2021-11-11,0.02,not_requested,7.0
2387,Genesis Dragons,0,1,0,0,0,0,0,0,0,249,140.0,0.25,726.0,128.0,False,10/31/2021,37,22,45,4,2021-03-28,4.079000000000001,approved,36.0
2388,Genesis Ethlizards,0,1,0,0,0,0,0,0,0,100,68.0,1.69,227.0,100.0,False,08/29/2021,57,50,68,3,2021-08-26,14.4759,not_requested,3.0
2389,Genesis Mana (for Loot),0,1,0,0,0,0,0,0,0,7300,590.0,0.134,1858.0,305.0,False,09/05/2021,19,11,50,5,2021-09-08,26.15549999999997,approved,0.0
2390,Genesis Rocks,0,1,0,0,0,0,0,0,0,38,31.0,5.0,3745.0,16.0,False,08/05/2021,30,17,125,7,2021-09-01,26.5,not_requested,2.0
2391,Genesis aXos,0,1,0,0,0,0,0,0,0,88,54.0,0.15,1164.0,340.0,False,01/07/2016,37,160,101,4,2021-06-27,1.063,not_requested,280.0
2392,Genesis.sol - solSeedlings,1,0,0,0,0,0,0,0,0,512,299.0,0.1,870.0,5.0,False,07/30/2021,28,35,45,19,2021-08-06,1.1118,verified,17.0
2393,Genetic Chain - Chain Gang Pass,0,0,0,0,0,0,0,1,0,1300,1200.0,0.086,18969.0,99.0,False,08/14/2021,263,235,327,15,2021-10-22,11.37438,approved,0.0
2394,Genetic Chain - Founders Pass,0,0,0,0,0,0,0,1,0,1000,997.0,0.197,18969.0,99.0,False,08/14/2021,263,235,327,15,2021-10-22,24.076389999999897,approved,0.0
2395,Genetic Chain - Geneticists Pass,0,0,0,0,0,0,0,1,0,443,426.0,0.2,18969.0,99.0,False,08/14/2021,263,235,327,15,2021-10-22,27.676950538839797,approved,0.0
2396,Genetic Chain - Ikebana,1,0,0,0,0,0,0,0,0,1200,1100.0,0.02,18969.0,99.0,False,08/14/2021,263,235,327,15,2021-11-10,0.7211000000000003,approved,58.0
2397,GeniePunks,0,0,0,0,0,0,1,0,0,124,21.0,0.01,1828.0,5.0,False,03/22/2021,3,4,115,1,2021-04-06,0.028004,not_requested,0.0
2398,Genius Punks,1,1,0,0,0,0,0,0,0,34,11.0,0.2,339.0,488.0,False,03/14/2021,2,1,5,0,2021-03-15,0.39,approved,2.0
2399,Genpalette Collection,1,0,0,0,0,0,0,0,0,124,80.0,0.03,2053.0,1939.0,False,08/27/2021,7,5,19,2,2021-09-10,0.28500001,not_requested,30.0
2400,Gentle Retrospection,0,0,0,0,1,0,0,0,0,30,2.0,0.2,6878.0,980.0,False,02/19/2012,460,19,2594,6,2021-12-16,0.2,not_requested,0.0
2401,Genzee,0,1,0,0,0,0,0,0,0,9900,3800.0,0.099,5633.0,212.0,False,10/04/2021,117,77,347,15,2021-10-13,520.367022797029,verified,328.0
2402,Geo Zoo Remix,1,0,0,0,0,0,0,0,0,60,60.0,0.15,8923.0,1184.0,False,04/30/2021,51,40,235,7,2021-07-11,0.16,not_requested,2.0
2403,GeoCuts,1,0,0,0,0,0,0,0,0,50,28.0,1.25,3472.0,431.0,False,03/15/2007,86,21,1104,6,2021-03-14,0.353,not_requested,0.0
2404,Geohashes (Genesis Collection),0,0,0,0,0,0,0,1,0,1300,274.0,0.009,188.0,0.0,False,09/13/2021,5,5,27,5,2021-09-20,0.009,not_requested,0.0
2405,Geometry Runners by Rich Lord,1,0,0,0,0,0,0,0,0,1000,687.0,1.725,17342.0,647.0,False,08/18/2009,860,164,6640,90,2021-08-27,148.4961,verified,380.0
2406,Geopolis,1,0,0,0,0,0,0,0,0,42,3.0,0.001,7.0,10.0,False,09/15/2021,0,0,0,0,2021-09-26,0.011,not_requested,0.0
2407,Gfarm v2,0,0,0,0,0,0,0,1,0,5,34.0,0.05,5280.0,34.0,False,01/02/2021,126,66,409,19,2021-10-31,0.075,not_requested,15.0
2408,Ghetto Ape Club,1,0,0,0,0,0,0,0,0,42,38.0,0.07,428.0,815.0,False,05/22/2021,19,20,166,4,2021-11-14,1.0109,not_requested,0.0
2409,Ghetto Granny Club,1,0,0,0,0,0,0,0,0,10000,827.0,0.005,2889.0,653.0,False,10/02/2021,24,11,58,5,2021-11-15,9.140571000000026,not_requested,195.0
2410,GhostSoftware CD-ROM,0,0,0,0,0,0,0,1,0,622,618.0,0.019,6962.0,0.0,False,05/14/2012,90,38,390,27,2021-10-27,0.066,not_requested,1.0
2411,Ghostkitties,1,0,0,0,0,0,0,0,0,64,34.0,0.17,1053.0,996.0,False,07/13/2021,9,9,62,2,2021-10-04,0.15,not_requested,135.0
2412,GhostxVerse,0,0,0,0,0,0,0,1,0,34,488.0,0.002,7365.0,136.0,False,11/12/2015,2,9,12,1,2021-11-26,0.0035,not_requested,23.0
2413,Ghoulies NFT,0,1,0,0,0,0,0,0,0,1300,520.0,0.06,6536.0,150.0,False,08/14/2021,6,4,14,1,2021-12-16,0.334,not_requested,148.0
2414,Ghouls n GANs,0,1,0,0,0,0,0,0,0,666,273.0,0.001,160.0,38.0,False,10/16/2021,9,9,17,4,2021-10-18,0.2225000000000001,not_requested,22.0
2415,Ghxsts,1,1,0,0,0,0,0,0,0,349,518.0,4.2,92537.0,963.0,False,05/02/2021,447,419,2988,62,2021-05-02,211.80900000000003,verified,176.0
2416,Ghxsts Cxlture,0,1,0,0,0,0,0,0,0,15,697.0,0.15,92537.0,963.0,False,05/02/2021,447,419,2988,62,2021-06-07,22.38404900000001,verified,3.0
2417,Ginger Girl,0,1,0,0,0,0,0,0,0,102,42.0,0.002,82072.0,6629.0,False,05/21/2010,17,7,56,2,2021-08-22,0.018,not_requested,55.0
2418,Giraffes At The Bar,0,1,0,0,0,0,0,0,0,1800,822.0,0.001,15065.0,34.0,False,07/18/2021,998,1068,953,54,2021-09-06,0.12,not_requested,173.0
2419,Girl Attention,1,0,0,0,0,0,0,0,0,29,14.0,0.008,779.0,606.0,False,07/14/2021,47,2,43,6,2021-11-22,0.117,not_requested,6.0
2420,Girls with Their Souls,1,0,0,0,0,0,0,0,0,7,2.0,0.2,954.0,931.0,False,02/26/2019,4,4,17,1,2021-10-24,0.2,not_requested,25.0
2421,GirlsGoneCryptoNFT,1,0,0,0,0,0,0,0,0,54,14.0,0.15,3441.0,4976.0,False,09/15/2021,24,19,77,3,2021-09-22,0.625,not_requested,240.0
2422,GitTrees,1,0,0,0,0,0,0,0,0,256,137.0,0.075,227.0,6.0,False,08/08/2021,27,25,25,14,2021-08-09,0.12,not_requested,423.0
2423,Give Love <3,1,0,0,0,0,0,0,0,0,4,2.0,0.07,1860.0,1006.0,False,03/23/2021,5,6,20,1,2021-12-09,0.07,not_requested,0.0
2424,Give me cows,0,1,0,0,0,0,0,0,0,608,71.0,0.001,225.0,238.0,False,06/13/2021,4,7,12,2,2021-11-07,0.0324,not_requested,0.0
2425,Giving is Beautiful,1,0,0,0,0,0,0,0,0,12,5.0,0.125,1288.0,519.0,False,05/19/2011,2,2,6,1,2021-12-07,0.875,not_requested,0.0
2426,Giza Maker,1,0,0,0,0,0,0,0,0,9,5.0,0.1,161.0,243.0,False,03/19/2020,0,1,6,0,2021-02-10,0.2,approved,0.0
2427,Glamour Pusses,0,1,0,0,0,0,0,0,0,5000,8.0,0.01,1047.0,1285.0,False,10/20/2021,5,4,9,1,2021-11-23,0.02,not_requested,424.0
2428,GlewmeWear,0,0,0,0,0,0,0,0,1,94,23.0,0.025,51.0,1.0,False,03/16/2021,4,1,5,2,2021-03-20,0.0777,not_requested,25.0
2429,Glitch Girls by GHOST GIRL,1,0,0,0,0,0,0,0,0,1600,527.0,0.025,3332.0,243.0,False,09/15/2021,33,10,103,8,2021-10-19,2.7064000000000004,approved,290.0
2430,Glitch Relics,1,0,0,0,0,0,0,0,0,28,21.0,0.25,9742.0,3166.0,False,05/31/2021,47,342,211,4,2021-10-02,0.4999,not_requested,0.0
2431,Glitched MAYC,0,1,0,0,0,0,0,0,0,42,3.0,0.02,4280.0,2833.0,False,04/22/2021,1,0,1,0,2021-11-18,0.04,not_requested,0.0
2432,Glizzy Gang NFT,0,1,0,0,0,0,0,0,0,251,47.0,0.629,3478.0,151.0,False,11/24/2021,592,514,676,14,2021-11-24,48.6137,approved,174.0
2433,Global Road Trip,0,0,0,0,1,0,0,0,0,23,4.0,0.15,139.0,348.0,False,04/14/2021,2,3,16,2,2021-12-13,0.035,not_requested,4.0
2434,Global-Travels,0,0,0,0,0,0,1,0,0,6,2.0,0.001,588.0,1432.0,False,04/01/2021,1,2,2,0,2021-09-18,0.0001,not_requested,0.0
2435,GlobalLotto,0,1,0,0,0,0,0,0,0,132200,7.0,0.015,13.0,14.0,False,12/24/2021,0,5,4,1,2021-11-20,0.2250000000000001,not_requested,0.0
2436,Gloomy Frankenstein,0,1,0,0,0,0,0,0,0,132,62.0,0.009,204.0,64.0,False,09/02/2017,1,2,2,1,2021-12-16,2.396829999999996,not_requested,11.0
2437,Glow Sessions,1,0,0,0,0,0,0,0,0,20,12.0,0.1,1221.0,2370.0,False,05/08/2012,5,5,30,1,2021-03-24,0.1,not_requested,0.0
2438,Glue Factory Show,0,1,0,0,0,0,0,0,0,10000,3500.0,0.049,6476.0,1204.0,False,07/13/2021,23,13,86,4,2021-08-09,23.466619,verified,143.0
2439,Go BaBy Go !!,0,1,0,0,0,0,0,0,0,409,199.0,0.3,6993.0,1373.0,False,07/19/2021,31,38,205,3,2021-08-25,35.5731,not_requested,32.0
2440,Go somewhere,1,0,0,0,0,0,0,0,0,14,5.0,0.08,2294.0,1355.0,False,08/20/2021,85,54,84,3,2021-08-30,0.05,not_requested,20.0
2441,Go-D / NFT MUSIC,1,0,0,0,0,0,0,0,0,35,18.0,0.016,397.0,333.0,False,10/07/2021,33,9,46,2,2021-11-21,0.0523475,not_requested,7.0
2442,Goat Universe,0,1,0,0,0,0,0,0,0,48,29.0,0.012,101.0,126.0,False,12/23/2021,1,2,4,1,2021-11-28,0.2063,not_requested,40.0
2443,Goaty || Art Bambina V2,1,0,0,0,0,0,0,0,0,57,7.0,0.01,187.0,511.0,False,09/19/2021,5,4,19,3,2021-09-30,0.0375,not_requested,0.0
2444,God flows out of me,1,0,0,0,0,0,0,0,0,20,3.0,0.05,1028.0,944.0,False,09/12/2021,4,3,23,4,2021-09-17,0.67,not_requested,0.0
2445,Godflowsoutofme,1,0,0,0,0,0,0,0,0,3,5.0,0.02,1028.0,944.0,False,09/12/2021,4,3,23,4,2021-09-17,0.04,not_requested,0.0
2446,Gods Of Rock,0,1,0,0,0,0,0,0,0,7000,2300.0,0.02,11881.0,797.0,False,06/23/2021,342,326,377,17,2021-10-08,7.745599999999896,approved,220.0
2447,Godspeed Metaverse Genesis,0,1,0,0,0,0,0,0,0,383,229.0,0.05,8305.0,116.0,False,08/29/2021,60,56,95,5,2021-10-16,0.516,not_requested,320.0
2448,Goku Inu,0,1,0,0,0,0,0,0,0,6,61.0,0.007,198.0,840.0,False,09/24/2021,4,4,10,3,2021-10-10,0.02,not_requested,0.0
2449,GokuPunksClub,0,1,0,0,0,0,0,0,0,40,3.0,0.04,14.0,123.0,False,12/24/2020,1,1,2,0,2021-09-02,0.031495,not_requested,69.0
2450,Gold Hunt Game,0,1,0,0,0,0,0,0,0,40000,1400.0,0.002,7284.0,0.0,False,07/24/2021,355,115,995,34,2021-11-27,46.48772688789988,approved,172.0
2451,Golden Celebs,1,0,0,0,0,0,0,0,0,42,5.0,0.006,661.0,892.0,False,10/16/2021,3,2,10,3,2021-10-15,0.034,not_requested,0.0
2452,Golden Future by Brendan North,1,0,0,0,0,0,0,0,0,1,178.0,0.22,25122.0,1376.0,False,12/10/2017,103,31,524,12,2021-11-14,2.8193,approved,0.0
2453,Golden Kanji Promo,0,0,0,0,0,0,0,1,0,1,202.0,0.001,134.0,296.0,False,08/04/2021,3,1,15,3,2021-09-28,0.0012758290311452,not_requested,0.0
2454,Golden Light Collection,1,0,0,0,0,0,0,0,0,15,5.0,0.02,6006.0,2342.0,False,10/08/2011,24,18,322,0,2021-09-25,0.11,not_requested,0.0
2455,Golden Secret Card,0,0,0,0,0,0,1,0,0,9,308.0,0.001,1980.0,1425.0,False,11/03/2014,26,28,29,2,2021-10-09,0.0019449,not_requested,21.0
2456,Golden State Warriors Legacy Collection,0,1,0,0,0,1,0,0,0,343,97.0,1.4,7072125.0,914.0,True,03/24/2009,16427,640,24249,717,2021-04-26,8.299999999999999,verified,29.0
2457,Goo Goos,0,0,0,0,0,0,0,1,0,501,76.0,0.195,3519.0,44.0,False,09/19/2021,344,19,1297,7,2021-11-28,0.75,not_requested,72.0
2458,Good Illumination,0,0,0,0,0,0,0,1,0,24,216.0,0.03,418.0,1756.0,False,07/06/2021,24,29,31,1,2021-09-05,0.0009,not_requested,5.0
2459,Good Morning Cafe,1,0,0,0,0,0,0,0,0,273,237.0,0.79,1077.0,416.0,False,04/28/2010,37,60,198,3,2021-09-21,26.503874,approved,571.0
2460,Goodbye Punks,0,1,0,0,0,0,0,0,0,100,88.0,0.24,477.0,858.0,False,10/10/2021,14,10,26,3,2021-10-03,1.038,approved,85.0
2461,Goofball Gang,0,1,0,0,0,0,0,0,0,2100,848.0,0.028,1036.0,440.0,False,09/14/2021,201,40,216,7,2021-10-01,8.861600009999995,not_requested,119.0
2462,Goon Bods of Balatroon,0,1,0,0,0,0,0,0,0,2800,715.0,0.045,20159.0,1207.0,False,07/14/2021,174,168,202,11,2021-10-29,1.4228899999999998,not_requested,257.0
2463,Goons of Balatroon,0,1,0,0,0,0,0,0,0,9700,3400.0,0.12,20159.0,1207.0,False,07/14/2021,174,168,202,11,2021-08-09,84.993509674733,verified,284.0
2464,Gorgls,1,0,0,0,0,0,0,0,0,18,5.0,0.008,516.0,538.0,False,12/12/2021,48,14,113,5,2021-12-12,0.031,not_requested,0.0
2465,Gorilla Mafia,0,1,0,0,0,0,0,0,0,351,76.0,0.07,263.0,469.0,False,09/13/2021,6,6,17,3,2021-09-11,2.4866000000000006,approved,931.0
2466,Gorilla Mansion 3D,0,1,0,0,0,0,0,0,0,327,180.0,0.012,5548.0,3641.0,False,11/18/2021,48,16,56,5,2021-11-19,4.321799999999993,not_requested,153.0
2467,Gorilla Nemesis,0,1,0,0,0,0,0,0,0,5000,1300.0,0.077,11649.0,1295.0,False,04/22/2021,46,34,102,8,2021-06-27,9.0592,verified,160.0
2468,Gorixel,1,0,0,0,0,0,0,0,0,1000,17.0,0.006,96.0,157.0,False,11/14/2021,5,11,15,6,2021-11-14,0.129,not_requested,385.0
2469,Goro's Art Works,1,1,0,0,0,0,0,0,0,216,107.0,0.045,5721.0,4911.0,False,05/03/2021,19,18,106,8,2021-04-07,0.583,not_requested,0.0
2470,Got Goats Sanctuary,1,0,0,0,0,0,0,0,0,40,22.0,0.015,230.0,70.0,False,08/27/2021,147,127,100,3,2021-08-27,0.08,not_requested,0.0
2471,Gotchimon,1,1,0,0,0,0,0,0,0,90,16.0,0.01,465.0,442.0,False,03/28/2021,111,123,136,12,2021-04-03,0.01,approved,25.0
2472,Gradis,0,1,0,0,0,0,0,0,0,4200,917.0,0.009,1220.0,526.0,False,06/28/2021,34,38,56,4,2021-10-29,6.882599999999994,not_requested,191.0
2473,Graffiti FACE,0,1,0,0,0,0,0,0,0,37,24.0,0.08,1002.0,1162.0,False,10/10/2021,9,5,17,3,2021-11-09,0.6970000000000004,not_requested,0.0
2474,Graffiti town,1,0,0,0,0,0,0,0,0,13,3.0,0.049,1002.0,1162.0,False,10/10/2021,9,5,17,3,2021-10-29,0.108,not_requested,0.0
2475,Gravity Evolutions,0,1,0,0,0,0,0,0,0,18,28.0,0.1,731.0,106.0,False,02/24/2021,37,36,174,2,2021-11-06,2.3000000000000003,not_requested,0.0
2476,Gravity Footwear,1,1,0,0,0,0,0,0,0,25,17.0,1.0,731.0,106.0,False,02/24/2021,37,36,174,2,2021-02-27,2.0,approved,2.0
2477,Gray Boys,0,0,0,0,0,0,0,1,0,10000,3100.0,0.29,4914.0,51.0,False,11/19/2021,411,426,627,57,2021-11-24,1286.460732782012,approved,589.0
2478,Great Ape Society,0,1,0,0,0,0,0,0,0,10000,4300.0,0.06,25969.0,171.0,False,08/04/2021,563,532,632,19,2021-08-02,54.16916627993405,verified,172.0
2479,Great Gramps,0,1,0,0,0,0,0,0,0,145,5.0,0.025,79.0,130.0,False,08/30/2021,6,6,14,4,2021-08-16,0.075,not_requested,293.0
2480,Greedy Bears,0,1,0,0,0,0,0,0,0,110,23.0,0.017,147.0,94.0,False,11/19/2021,26,7,44,1,2021-11-17,0.0987344999999999,not_requested,91.0
2481,Greek Lego Gods (GLG),1,0,0,0,0,0,0,0,0,17,20.0,0.01,67.0,122.0,False,11/12/2021,1,2,13,4,2021-11-04,0.124,requested,0.0
2482,Greetings from Giza,1,0,0,0,0,0,0,0,0,208,182.0,0.158,8112.0,1142.0,False,01/12/2015,56,28,186,11,2021-10-21,3.523000000000001,approved,29.0
2483,Greyscale Punks,1,0,0,0,0,0,0,0,0,2500,992.0,0.001,2510.0,1.0,False,08/08/2021,129,70,147,15,2021-08-08,0.164200000001,not_requested,0.0
2484,Gridiron Goofs,0,0,0,0,0,1,1,0,0,63,108.0,0.01,563.0,966.0,False,02/27/2021,4,4,16,2,2021-02-27,0.4975000000000001,approved,23.0
2485,Grim Tales of a Wassie,1,0,0,0,0,0,0,0,0,111,75.0,0.05,579.0,40.0,False,06/10/2020,26,10,67,5,2021-10-27,0.20001,not_requested,111.0
2486,Grind Ape Club (GAC),0,1,0,0,0,0,0,0,0,54,22.0,0.1,7.0,24.0,False,01/13/2022,0,1,2,0,2021-12-16,2.52,not_requested,56.0
2487,Groovy Crypto Funks,0,0,0,1,0,0,0,0,0,100,2.0,0.021,100.0,148.0,False,03/22/2021,18,21,25,4,2021-10-01,0.049,not_requested,52.0
2488,Grouchy Tiger Social Club,0,1,0,0,0,0,0,0,0,10000,636.0,0.01,1856.0,268.0,False,12/12/2021,93,55,78,17,2021-12-12,59.47412000000012,approved,103.0
2489,Grumpkins,0,1,0,0,0,0,0,0,0,120,93.0,0.15,2875.0,637.0,False,08/11/2021,18,21,91,2,2021-08-11,5.8625669,approved,659.0
2490,GrumpyOwls,0,1,0,0,0,0,0,0,0,1900,11.0,0.01,53.0,134.0,False,04/15/2021,1,2,6,2,2021-11-02,0.03,not_requested,132.0
2491,Guardians of the Metaverse,0,1,0,0,0,0,0,0,0,10000,4300.0,0.04,24240.0,213.0,False,07/22/2021,861,849,966,69,2021-09-05,22.09466373579588,verified,261.0
2492,Guardians of the Underworld,0,1,0,0,0,0,0,0,0,59,96.0,0.037,1282.0,1106.0,False,09/27/2015,10,34,132,1,2021-05-31,0.127,not_requested,67.0
2493,Guess What!,1,0,0,0,0,0,0,0,0,110,40.0,0.1,7294.0,2301.0,False,05/01/2021,26,38,174,5,2021-10-06,0.7499999999999999,not_requested,27.0
2494,Guild Bois,1,0,0,0,0,0,0,0,0,30,8.0,0.002,86.0,202.0,False,12/26/2021,1,4,5,2,2021-12-04,0.0465,not_requested,26.0
2495,Guild of Guardians Heroe,0,1,0,0,0,0,0,0,0,29,7.0,0.06,111264.0,343.0,False,10/06/2020,69,80,369,14,2021-10-15,0.62,not_requested,113.0
2496,Guinea Piggy Adventure,1,0,0,0,0,0,0,0,0,57,2.0,0.001,33.0,86.0,False,01/13/2010,2,1,7,1,2021-10-08,0.003,not_requested,56.0
2497,Gullys,0,1,0,0,0,0,0,0,0,103,16.0,0.004,1102.0,498.0,False,11/19/2021,7,13,48,4,2021-11-19,0.172,not_requested,0.0
2498,Gummo Land,0,0,0,0,1,0,0,0,0,30,5.0,0.3,2517.0,1907.0,False,05/29/2009,8,6,43,3,2021-03-05,0.3,approved,4.0
2499,Gun Lord,1,0,0,0,0,0,0,0,0,79,485.0,0.001,400.0,933.0,False,12/31/2018,11,9,26,7,2021-08-28,0.0678159999,not_requested,55.0
2500,Gundog Millionaires,0,1,0,0,0,0,0,0,0,9700,702.0,0.001,2043.0,4887.0,False,10/11/2021,82,63,82,6,2021-10-13,0.0637445,not_requested,306.0
2501,Gunslingers Collection,0,1,0,0,0,0,0,0,0,7800,3500.0,0.14,5695.0,389.0,False,09/01/2021,164,165,453,17,2021-12-10,1244.216771471784,approved,452.0
2502,Gutter Art,0,1,0,0,0,0,0,0,0,27,5500.0,0.003,65322.0,2866.0,False,05/11/2021,450,166,1502,157,2021-09-11,4.2475848993399925,not_requested,0.0
2503,Gutter Cat Gang,0,1,0,0,0,0,0,0,0,3000,1800.0,6.4,65322.0,2866.0,False,05/11/2021,450,166,1502,157,2021-06-08,2415.4993712319806,verified,117.0
2504,Gutter Cat'lacs,0,1,0,0,0,0,0,0,0,2200,1000.0,0.03,65322.0,2866.0,False,05/11/2021,450,166,1502,157,2021-07-27,1.2449000000000006,not_requested,9.0
2505,Gutter Dogs,0,1,0,0,0,0,0,0,0,2900,1900.0,1.7,65322.0,2866.0,False,05/11/2021,450,166,1502,157,2021-10-02,1240.562133679529,verified,156.0
2506,Gutter Merch,0,1,0,0,0,0,0,0,0,57,679.0,0.085,65322.0,2866.0,False,05/11/2021,450,166,1502,157,2021-08-20,5.647589000000002,not_requested,17.0
2507,Gutter Merch 2.0,0,1,0,0,0,0,0,0,0,2,305.0,0.034,65322.0,2866.0,False,05/11/2021,450,166,1502,157,2021-10-31,1.0720600000000005,not_requested,0.0
2508,Gutter Pigeons,0,1,0,0,0,0,0,0,0,2900,1900.0,1.24,65322.0,2866.0,False,05/11/2021,450,166,1502,157,2021-10-02,965.7840349696962,verified,150.0
2509,Gutter Rats,0,1,0,0,0,0,0,0,0,3000,1800.0,1.25,65322.0,2866.0,False,05/11/2021,450,166,1502,157,2021-07-10,640.6316809137203,verified,139.0
2510,Gutter Species Mint Pass,0,1,0,0,0,0,0,0,0,196,111.0,2.25,65322.0,2866.0,False,05/11/2021,450,166,1502,157,2021-09-04,105.92639,verified,0.0
2511,Gym Dogs,1,0,0,0,0,0,0,0,0,9900,26.0,0.001,246.0,3112.0,False,12/27/2021,1,2,4,1,2021-12-01,0.027,not_requested,8.0
2512,Gyre by Shvembldr,1,0,0,0,0,0,0,0,0,140,88.0,1.8,15489.0,427.0,False,03/15/2015,20,18,334,3,2021-08-04,11.65,verified,0.0
2513,H3RB5,1,0,0,0,0,0,0,0,0,10,3.0,0.05,63.0,461.0,False,03/21/2021,1,5,137,1,2021-11-04,0.225,not_requested,0.0
2514,HACHI's 100 friends,0,1,0,0,0,0,0,0,0,74,57.0,0.05,1606.0,916.0,False,09/23/2021,3,6,22,2,2021-09-23,0.204,not_requested,57.0
2515,HANAFUDA Frog,0,1,0,0,0,0,0,0,0,1,4.0,0.005,430.0,278.0,False,10/07/2021,213,201,237,12,2021-10-23,0.1169999999999999,not_requested,0.0
2516,HAPEBEAST PRIME GANG,1,0,0,0,0,0,0,0,0,37,426.0,0.008,54711.0,2290.0,False,09/01/2016,896,545,3755,90,2021-12-02,0.2539,not_requested,0.0
2517,HARUBANGs,0,1,0,0,0,0,0,0,0,56,20.0,0.012,1128.0,479.0,False,11/10/2021,77,24,109,2,2021-12-07,0.12179905,not_requested,109.0
2518,HARUVA,1,0,0,0,0,0,0,0,0,151,63.0,0.001,265.0,1060.0,False,12/15/2021,3,1,12,2,2021-12-16,0.0093999999999999,not_requested,0.0
2519,HASH by POB,1,1,0,0,0,0,0,0,0,6600,2400.0,0.02,6606.0,6.0,False,09/22/2020,20,18,53,5,2021-01-12,1.87141,verified,0.0
2520,HCalderon Day of the Dead,1,1,0,0,0,0,0,0,0,36,5.0,0.002,138.0,70.0,False,05/01/2009,1,1,7,1,2021-03-01,0.06,not_requested,5.0
2521,HDPunks,0,1,0,0,0,0,0,0,0,10000,1200.0,0.015,4613.0,31.0,False,03/28/2021,518,179,588,13,2021-06-29,2.8498999999999994,approved,109.0
2522,HEAD HONCHO,1,0,0,0,0,0,0,0,0,96,3.0,0.014,890.0,2141.0,False,07/05/2017,8,3,24,3,2021-09-14,0.014,not_requested,110.0
2523,HEAD5 by deadmau5,0,1,0,0,0,0,0,0,0,2900,1400.0,0.1,3791.0,135.0,False,10/22/2021,473,64,308,13,2021-11-14,16.075799999999994,verified,188.0
2524,HEAVEN XI - DAY ONE,1,0,0,0,0,0,0,0,0,3,16.0,0.06,1989.0,799.0,False,10/27/2020,10,8,42,2,2021-09-13,0.06,not_requested,13.0
2525,HEAVY MetaHats,1,0,0,0,0,0,0,0,0,4,10.0,0.036,426.0,195.0,False,02/20/2013,6,5,42,2,2021-11-02,0.2918,not_requested,8.0
2526,HEM'S HIDEOUT,0,1,0,0,0,0,0,0,0,182,2200.0,0.001,9087.0,142.0,False,01/18/2021,354,338,389,10,2021-11-22,0.4237193964287313,not_requested,0.0
2527,HEY SUSHI,1,0,0,0,0,0,0,0,0,34,29.0,0.006,3963.0,3239.0,False,06/03/2011,5,2,13,2,2021-11-06,0.076,not_requested,20.0
2528,HIDDEN IN NOISE,1,0,0,0,0,0,0,0,0,1000,651.0,0.46,2416.0,3.0,False,08/18/2021,19,6,77,2,2021-10-12,18.8642,verified,27.0
2529,HIGHER 2020,1,0,0,0,0,0,0,0,0,12,20.0,0.057,1106.0,174.0,False,02/04/2019,3,3,10,1,2021-09-06,0.062,not_requested,0.0
2530,HIP HOP HEADS FOR HIP HOP HEADS,0,1,0,0,0,0,0,0,0,10,3.0,0.042,615.0,1261.0,False,09/09/2011,3,2,8,1,2021-11-10,0.0415,not_requested,0.0
2531,HIT CITY APE,0,1,0,0,0,0,0,0,0,112,1800.0,0.001,135.0,444.0,False,11/14/2021,2,4,15,3,2021-12-05,0.1479454202489627,not_requested,0.0
2532,HIYOKO Collections,1,0,0,0,0,0,0,0,0,19,23.0,0.005,570.0,670.0,False,02/05/2015,57,18,68,4,2021-11-02,0.009,not_requested,0.0
2533,HOCKEY by CAVY,1,0,0,0,0,0,0,0,0,18,6.0,0.03,1029.0,614.0,False,05/10/2012,3,3,12,2,2021-12-09,0.22,not_requested,0.0
